freq,unit,agriprod,geo,TIME_PERIOD,OBS_VALUE
Annual,Euro per hectare,Arable land,Prov. Hainaut,2018,281.0
Annual,Euro per hectare,Arable land,Prov. Hainaut,2019,272.0
Annual,Euro per hectare,Arable land,Prov. Hainaut,2020,271.0
Annual,Euro per hectare,Arable land,Prov. Liège,2013,244.0
Annual,Euro per hectare,Arable land,Prov. Liège,2014,259.0
Annual,Euro per hectare,Arable land,Prov. Liège,2015,287.0
Annual,Euro per hectare,Arable land,Prov. Liège,2016,264.0
Annual,Euro per hectare,Arable land,Prov. Liège,2017,287.0
Annual,Euro per hectare,Arable land,Prov. Liège,2018,282.0
Annual,Euro per hectare,Arable land,Prov. Liège,2019,284.0
Annual,Euro per hectare,Arable land,Prov. Liège,2020,289.0
Annual,Euro per hectare,Arable land,Prov. Luxembourg (BE),2013,143.0
Annual,Euro per hectare,Arable land,Prov. Luxembourg (BE),2014,171.0
Annual,Euro per hectare,Arable land,Prov. Luxembourg (BE),2015,163.0
Annual,Euro per hectare,Arable land,Prov. Luxembourg (BE),2016,156.0
Annual,Euro per hectare,Arable land,Prov. Luxembourg (BE),2017,187.0
Annual,Euro per hectare,Arable land,Prov. Luxembourg (BE),2018,176.0
Annual,Euro per hectare,Arable land,Prov. Luxembourg (BE),2019,171.0
Annual,Euro per hectare,Arable land,Prov. Luxembourg (BE),2020,176.0
Annual,Euro per hectare,Arable land,Prov. Namur,2013,192.0
Annual,Euro per hectare,Arable land,Prov. Namur,2014,186.0
Annual,Euro per hectare,Arable land,Prov. Namur,2015,202.0
Annual,Euro per hectare,Arable land,Prov. Namur,2016,212.0
Annual,Euro per hectare,Arable land,Prov. Namur,2017,199.0
Annual,Euro per hectare,Arable land,Prov. Namur,2018,202.0
Annual,Euro per hectare,Arable land,Prov. Namur,2019,205.0
Annual,Euro per hectare,Arable land,Prov. Namur,2020,206.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2011,164.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2012,194.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2013,215.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2014,235.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2015,245.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2016,245.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2017,261.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2018,271.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2019,276.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2020,248.0
Annual,Euro per hectare,Arable land,Severozapaden,2011,112.0
Annual,Euro per hectare,Arable land,Severozapaden,2012,148.0
Annual,Euro per hectare,Arable land,Severozapaden,2013,174.0
Annual,Euro per hectare,Arable land,Severozapaden,2014,199.0
Annual,Euro per hectare,Arable land,Severozapaden,2015,210.0
Annual,Euro per hectare,Arable land,Severozapaden,2016,215.0
Annual,Euro per hectare,Arable land,Severozapaden,2017,230.0
Annual,Euro per hectare,Arable land,Severozapaden,2018,245.0
Annual,Euro per hectare,Arable land,Severozapaden,2019,254.0
Annual,Euro per hectare,Arable land,Severozapaden,2020,250.0
Annual,Euro per hectare,Arable land,Severen tsentralen,2011,169.0
Annual,Euro per hectare,Arable land,Severen tsentralen,2012,215.0
Annual,Euro per hectare,Arable land,Severen tsentralen,2013,235.0
Annual,Euro per hectare,Arable land,Severen tsentralen,2014,256.0
Annual,Euro per hectare,Arable land,Severen tsentralen,2015,271.0
Annual,Euro per hectare,Arable land,Severen tsentralen,2016,276.0
Annual,Euro per hectare,Arable land,Severen tsentralen,2017,291.0
Annual,Euro per hectare,Arable land,Severen tsentralen,2018,302.0
Annual,Euro per hectare,Arable land,Severen tsentralen,2019,308.0
Annual,Euro per hectare,Arable land,Severen tsentralen,2020,298.0
Annual,Euro per hectare,Arable land,Severoiztochen,2011,256.0
Annual,Euro per hectare,Arable land,Severoiztochen,2012,276.0
Annual,Euro per hectare,Arable land,Severoiztochen,2013,302.0
Annual,Euro per hectare,Arable land,Severoiztochen,2014,317.0
Annual,Euro per hectare,Arable land,Severoiztochen,2015,327.0
Annual,Euro per hectare,Arable land,Severoiztochen,2016,332.0
Annual,Euro per hectare,Arable land,Severoiztochen,2017,348.0
Annual,Euro per hectare,Arable land,Severoiztochen,2018,358.0
Annual,Euro per hectare,Arable land,Severoiztochen,2019,353.0
Annual,Euro per hectare,Arable land,Severoiztochen,2020,270.0
Annual,Euro per hectare,Arable land,Yugoiztochen,2011,112.0
Annual,Euro per hectare,Arable land,Yugoiztochen,2012,143.0
Annual,Euro per hectare,Arable land,Yugoiztochen,2013,148.0
Annual,Euro per hectare,Arable land,Yugoiztochen,2014,159.0
Annual,Euro per hectare,Arable land,Yugoiztochen,2015,159.0
Annual,Euro per hectare,Arable land,Yugoiztochen,2016,164.0
Annual,Euro per hectare,Arable land,Yugoiztochen,2017,174.0
Annual,Euro per hectare,Arable land,Yugoiztochen,2018,179.0
Annual,Euro per hectare,Arable land,Yugoiztochen,2019,189.0
Annual,Euro per hectare,Arable land,Yugoiztochen,2020,177.0
Annual,Euro per hectare,Arable land,Yugozapadna i Yuzhna tsentralna Bulgaria,2011,97.0
Annual,Euro per hectare,Arable land,Yugozapadna i Yuzhna tsentralna Bulgaria,2012,107.0
Annual,Euro per hectare,Arable land,Yugozapadna i Yuzhna tsentralna Bulgaria,2013,118.0
Annual,Euro per hectare,Arable land,Yugozapadna i Yuzhna tsentralna Bulgaria,2014,128.0
Annual,Euro per hectare,Arable land,Yugozapadna i Yuzhna tsentralna Bulgaria,2015,133.0
Annual,Euro per hectare,Arable land,Yugozapadna i Yuzhna tsentralna Bulgaria,2016,133.0
Annual,Euro per hectare,Arable land,Yugozapadna i Yuzhna tsentralna Bulgaria,2017,153.0
Annual,Euro per hectare,Arable land,Yugozapadna i Yuzhna tsentralna Bulgaria,2018,164.0
Annual,Euro per hectare,Arable land,Yugozapadna i Yuzhna tsentralna Bulgaria,2019,159.0
Annual,Euro per hectare,Arable land,Yugozapadna i Yuzhna tsentralna Bulgaria,2020,155.0
Annual,Euro per hectare,Arable land,Yugozapaden,2011,77.0
Annual,Euro per hectare,Arable land,Yugozapaden,2012,77.0
Annual,Euro per hectare,Arable land,Yugozapaden,2013,87.0
Annual,Euro per hectare,Arable land,Yugozapaden,2014,97.0
Annual,Euro per hectare,Arable land,Yugozapaden,2015,107.0
Annual,Euro per hectare,Arable land,Yugozapaden,2016,118.0
Annual,Euro per hectare,Arable land,Yugozapaden,2017,143.0
Annual,Euro per hectare,Arable land,Yugozapaden,2018,153.0
Annual,Euro per hectare,Arable land,Yugozapaden,2019,153.0
Annual,Euro per hectare,Arable land,Yugozapaden,2020,151.0
Annual,Euro per hectare,Arable land,Yuzhen tsentralen,2011,102.0
Annual,Euro per hectare,Arable land,Yuzhen tsentralen,2012,118.0
Annual,Euro per hectare,Arable land,Yuzhen tsentralen,2013,128.0
Annual,Euro per hectare,Arable land,Yuzhen tsentralen,2014,138.0
Annual,Euro per hectare,Arable land,Yuzhen tsentralen,2015,143.0
Annual,Euro per hectare,Arable land,Yuzhen tsentralen,2016,138.0
Annual,Euro per hectare,Arable land,Yuzhen tsentralen,2017,159.0
Annual,Euro per hectare,Arable land,Yuzhen tsentralen,2018,164.0
Annual,Euro per hectare,Arable land,Yuzhen tsentralen,2019,162.0
Annual,Euro per hectare,Arable land,Yuzhen tsentralen,2020,159.0
Annual,Euro per hectare,Arable land,Eesti,2013,43.0
Annual,Euro per hectare,Arable land,Eesti,2014,50.0
Annual,Euro per hectare,Arable land,Eesti,2015,55.0
Annual,Euro per hectare,Arable land,Eesti,2016,54.0
Annual,Euro per hectare,Arable land,Eesti,2017,60.0
Annual,Euro per hectare,Arable land,Eesti,2018,62.0
Annual,Euro per hectare,Arable land,Attiki,2016,1128.0
Annual,Euro per hectare,Arable land,Attiki,2017,1069.0
Annual,Euro per hectare,Arable land,Attiki,2018,1010.0
Annual,Euro per hectare,Arable land,Attiki,2019,951.0
Annual,Euro per hectare,Arable land,Attiki,2020,961.0
Annual,Euro per hectare,Arable land,"Nisia Aigaiou, Kriti",2015,696.0
Annual,Euro per hectare,Arable land,"Nisia Aigaiou, Kriti",2016,799.0
Annual,Euro per hectare,Arable land,"Nisia Aigaiou, Kriti",2017,836.0
Annual,Euro per hectare,Arable land,"Nisia Aigaiou, Kriti",2018,755.0
Annual,Euro per hectare,Arable land,"Nisia Aigaiou, Kriti",2019,750.0
Annual,Euro per hectare,Arable land,"Nisia Aigaiou, Kriti",2020,812.0
Annual,Euro per hectare,Arable land,Voreio Aigaio,2015,872.0
Annual,Euro per hectare,Arable land,Voreio Aigaio,2016,858.0
Annual,Euro per hectare,Arable land,Voreio Aigaio,2017,858.0
Annual,Euro per hectare,Arable land,Voreio Aigaio,2018,854.0
Annual,Euro per hectare,Arable land,Voreio Aigaio,2019,854.0
Annual,Euro per hectare,Arable land,Voreio Aigaio,2020,833.0
Annual,Euro per hectare,Arable land,Notio Aigaio,2015,398.0
Annual,Euro per hectare,Arable land,Notio Aigaio,2016,370.0
Annual,Euro per hectare,Arable land,Notio Aigaio,2017,370.0
Annual,Euro per hectare,Arable land,Notio Aigaio,2018,370.0
Annual,Euro per hectare,Arable land,Notio Aigaio,2019,370.0
Annual,Euro per hectare,Arable land,Notio Aigaio,2020,310.0
Annual,Euro per hectare,Arable land,Kriti,2015,657.0
Annual,Euro per hectare,Arable land,Kriti,2016,930.0
Annual,Euro per hectare,Arable land,Kriti,2017,1011.0
Annual,Euro per hectare,Arable land,Kriti,2018,833.0
Annual,Euro per hectare,Arable land,Kriti,2019,823.0
Annual,Euro per hectare,Arable land,Kriti,2020,960.0
Annual,Euro per hectare,Arable land,Voreia Elláda,2015,353.0
Annual,Euro per hectare,Arable land,Voreia Elláda,2016,343.0
Annual,Euro per hectare,Arable land,Voreia Elláda,2017,347.0
Annual,Euro per hectare,Arable land,Voreia Elláda,2018,355.0
Annual,Euro per hectare,Arable land,Voreia Elláda,2019,359.0
Annual,Euro per hectare,Arable land,Voreia Elláda,2020,378.0
Annual,Euro per hectare,Arable land,"Anatoliki Makedonia, Thraki",2015,320.0
Annual,Euro per hectare,Arable land,"Anatoliki Makedonia, Thraki",2016,318.0
Annual,Euro per hectare,Arable land,"Anatoliki Makedonia, Thraki",2017,316.0
Annual,Euro per hectare,Arable land,"Anatoliki Makedonia, Thraki",2018,327.0
Annual,Euro per hectare,Arable land,"Anatoliki Makedonia, Thraki",2019,344.0
Annual,Euro per hectare,Arable land,"Anatoliki Makedonia, Thraki",2020,357.0
Annual,Euro per hectare,Arable land,Kentriki Makedonia,2015,393.0
Annual,Euro per hectare,Arable land,Kentriki Makedonia,2016,405.0
Annual,Euro per hectare,Arable land,Kentriki Makedonia,2017,410.0
Annual,Euro per hectare,Arable land,Kentriki Makedonia,2018,422.0
Annual,Euro per hectare,Arable land,Kentriki Makedonia,2019,425.0
Annual,Euro per hectare,Arable land,Kentriki Makedonia,2020,453.0
Annual,Euro per hectare,Arable land,Dytiki Makedonia,2015,302.0
Annual,Euro per hectare,Arable land,Dytiki Makedonia,2016,233.0
Annual,Euro per hectare,Arable land,Dytiki Makedonia,2017,238.0
Annual,Euro per hectare,Arable land,Dytiki Makedonia,2018,238.0
Annual,Euro per hectare,Arable land,Dytiki Makedonia,2019,229.0
Annual,Euro per hectare,Arable land,Dytiki Makedonia,2020,242.0
Annual,Euro per hectare,Arable land,Ipeiros,2015,317.0
Annual,Euro per hectare,Arable land,Ipeiros,2016,323.0
Annual,Euro per hectare,Arable land,Ipeiros,2017,337.0
Annual,Euro per hectare,Arable land,Ipeiros,2018,315.0
Annual,Euro per hectare,Arable land,Ipeiros,2019,312.0
Annual,Euro per hectare,Arable land,Ipeiros,2020,300.0
Annual,Euro per hectare,Arable land,Kentriki Elláda,2015,467.0
Annual,Euro per hectare,Arable land,Kentriki Elláda,2016,461.0
Annual,Euro per hectare,Arable land,Kentriki Elláda,2017,463.0
Annual,Euro per hectare,Arable land,Kentriki Elláda,2018,469.0
Annual,Euro per hectare,Arable land,Kentriki Elláda,2019,478.0
Annual,Euro per hectare,Arable land,Kentriki Elláda,2020,490.0
Annual,Euro per hectare,Arable land,Thessalia,2015,415.0
Annual,Euro per hectare,Arable land,Thessalia,2016,409.0
Annual,Euro per hectare,Arable land,Thessalia,2017,405.0
Annual,Euro per hectare,Arable land,Thessalia,2018,413.0
Annual,Euro per hectare,Arable land,Thessalia,2019,426.0
Annual,Euro per hectare,Arable land,Thessalia,2020,444.0
Annual,Euro per hectare,Arable land,Ionia Nisia,2015,260.0
Annual,Euro per hectare,Arable land,Ionia Nisia,2016,225.0
Annual,Euro per hectare,Arable land,Ionia Nisia,2017,225.0
Annual,Euro per hectare,Arable land,Ionia Nisia,2018,225.0
Annual,Euro per hectare,Arable land,Ionia Nisia,2019,225.0
Annual,Euro per hectare,Arable land,Ionia Nisia,2020,214.0
Annual,Euro per hectare,Arable land,Dytiki Elláda,2015,487.0
Annual,Euro per hectare,Arable land,Dytiki Elláda,2016,490.0
Annual,Euro per hectare,Arable land,Dytiki Elláda,2017,506.0
Annual,Euro per hectare,Arable land,Dytiki Elláda,2018,528.0
Annual,Euro per hectare,Arable land,Dytiki Elláda,2019,528.0
Annual,Euro per hectare,Arable land,Dytiki Elláda,2020,516.0
Annual,Euro per hectare,Arable land,Sterea Elláda,2015,551.0
Annual,Euro per hectare,Arable land,Sterea Elláda,2016,542.0
Annual,Euro per hectare,Arable land,Sterea Elláda,2017,542.0
Annual,Euro per hectare,Arable land,Sterea Elláda,2018,535.0
Annual,Euro per hectare,Arable land,Sterea Elláda,2019,553.0
Annual,Euro per hectare,Arable land,Sterea Elláda,2020,549.0
Annual,Euro per hectare,Arable land,Peloponnisos,2015,539.0
Annual,Euro per hectare,Arable land,Peloponnisos,2016,527.0
Annual,Euro per hectare,Arable land,Peloponnisos,2017,534.0
Annual,Euro per hectare,Arable land,Peloponnisos,2018,533.0
Annual,Euro per hectare,Arable land,Peloponnisos,2019,533.0
Annual,Euro per hectare,Arable land,Peloponnisos,2020,572.0
Annual,Euro per hectare,Arable land,Noroeste,2016,214.0
Annual,Euro per hectare,Arable land,Noroeste,2017,260.0
Annual,Euro per hectare,Arable land,Noroeste,2018,193.0
Annual,Euro per hectare,Arable land,Noroeste,2019,190.0
Annual,Euro per hectare,Arable land,Noroeste,2020,198.0
Annual,Euro per hectare,Arable land,Galicia,2016,214.0
Annual,Euro per hectare,Arable land,Galicia,2017,260.0
Annual,Euro per hectare,Arable land,Galicia,2018,193.0
Annual,Euro per hectare,Arable land,Galicia,2019,190.0
Annual,Euro per hectare,Arable land,Galicia,2020,198.0
Annual,Euro per hectare,Arable land,Noreste,2016,184.0
Annual,Euro per hectare,Arable land,Noreste,2017,177.0
Annual,Euro per hectare,Arable land,Noreste,2018,187.0
Annual,Euro per hectare,Arable land,Noreste,2019,178.0
Annual,Euro per hectare,Arable land,País Vasco,2016,306.0
Annual,Euro per hectare,Arable land,País Vasco,2017,312.0
Annual,Euro per hectare,Arable land,País Vasco,2018,324.0
Annual,Euro per hectare,Arable land,País Vasco,2019,327.0
Annual,Euro per hectare,Arable land,País Vasco,2020,349.0
Annual,Euro per hectare,Arable land,Comunidad Foral de Navarra,2016,199.0
Annual,Euro per hectare,Arable land,Comunidad Foral de Navarra,2017,209.0
Annual,Euro per hectare,Arable land,Comunidad Foral de Navarra,2018,219.0
Annual,Euro per hectare,Arable land,Comunidad Foral de Navarra,2019,214.0
Annual,Euro per hectare,Arable land,Comunidad Foral de Navarra,2020,216.0
Annual,Euro per hectare,Arable land,La Rioja,2016,232.0
Annual,Euro per hectare,Arable land,La Rioja,2017,235.0
Annual,Euro per hectare,Arable land,La Rioja,2018,239.0
Annual,Euro per hectare,Arable land,La Rioja,2019,241.0
Annual,Euro per hectare,Arable land,La Rioja,2020,243.0
Annual,Euro per hectare,Arable land,Aragón,2016,164.0
Annual,Euro per hectare,Arable land,Aragón,2017,149.0
Annual,Euro per hectare,Arable land,Aragón,2018,159.0
Annual,Euro per hectare,Arable land,Aragón,2019,147.0
Annual,Euro per hectare,Arable land,Aragón,2020,148.0
Annual,Euro per hectare,Arable land,Comunidad de Madrid,2016,148.0
Annual,Euro per hectare,Arable land,Comunidad de Madrid,2017,171.0
Annual,Euro per hectare,Arable land,Comunidad de Madrid,2018,163.0
Annual,Euro per hectare,Arable land,Comunidad de Madrid,2019,171.0
Annual,Euro per hectare,Arable land,Comunidad de Madrid,2020,166.0
Annual,Euro per hectare,Arable land,Centro (ES),2016,145.0
Annual,Euro per hectare,Arable land,Centro (ES),2017,152.0
Annual,Euro per hectare,Arable land,Centro (ES),2018,161.0
Annual,Euro per hectare,Arable land,Centro (ES),2019,165.0
Annual,Euro per hectare,Arable land,Centro (ES),2020,166.0
Annual,Euro per hectare,Arable land,Castilla y León,2016,160.0
Annual,Euro per hectare,Arable land,Castilla y León,2017,161.0
Annual,Euro per hectare,Arable land,Castilla y León,2018,164.0
Annual,Euro per hectare,Arable land,Castilla y León,2019,169.0
Annual,Euro per hectare,Arable land,Castilla y León,2020,170.0
Annual,Euro per hectare,Arable land,Castilla-La Mancha,2016,117.0
Annual,Euro per hectare,Arable land,Castilla-La Mancha,2017,126.0
Annual,Euro per hectare,Arable land,Castilla-La Mancha,2018,143.0
Annual,Euro per hectare,Arable land,Castilla-La Mancha,2019,145.0
Annual,Euro per hectare,Arable land,Castilla-La Mancha,2020,145.0
Annual,Euro per hectare,Arable land,Extremadura,2016,155.0
Annual,Euro per hectare,Arable land,Extremadura,2017,172.0
Annual,Euro per hectare,Arable land,Extremadura,2018,187.0
Annual,Euro per hectare,Arable land,Extremadura,2019,191.0
Annual,Euro per hectare,Arable land,Extremadura,2020,193.0
Annual,Euro per hectare,Arable land,Este,2016,210.0
Annual,Euro per hectare,Arable land,Este,2017,216.0
Annual,Euro per hectare,Arable land,Este,2018,218.0
Annual,Euro per hectare,Arable land,Este,2019,221.0
Annual,Euro per hectare,Arable land,Este,2020,219.0
Annual,Euro per hectare,Arable land,Cataluña,2016,235.0
Annual,Euro per hectare,Arable land,Cataluña,2017,234.0
Annual,Euro per hectare,Arable land,Cataluña,2018,236.0
Annual,Euro per hectare,Arable land,Cataluña,2019,237.0
Annual,Euro per hectare,Arable land,Cataluña,2020,242.0
Annual,Euro per hectare,Arable land,Comunitat Valenciana,2016,198.0
Annual,Euro per hectare,Arable land,Comunitat Valenciana,2017,215.0
Annual,Euro per hectare,Arable land,Comunitat Valenciana,2018,214.0
Annual,Euro per hectare,Arable land,Comunitat Valenciana,2019,221.0
Annual,Euro per hectare,Arable land,Comunitat Valenciana,2020,203.0
