freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE
Annual,Euro,Soft wheat - prices per 100 kg,Germany,2016,14.05
Annual,Euro,Soft wheat - prices per 100 kg,Germany,2017,15.13
Annual,Euro,Soft wheat - prices per 100 kg,Germany,2018,16.84
Annual,Euro,Soft wheat - prices per 100 kg,Germany,2019,16.69
Annual,Euro,Soft wheat - prices per 100 kg,Germany,2020,17.21
Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2011,19.33
Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2012,20.72
Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2013,20.5
Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2014,16.62
Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2015,15.5
Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2016,14.1
Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2017,14.97
Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2018,16.85
Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2019,17.97
Annual,Euro,Soft wheat - prices per 100 kg,Denmark,2020,16.64
Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2011,18.67
Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2012,21.01
Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2013,19.26
Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2014,19.25
Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2015,15.97
Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2016,14.64
Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2017,15.5
Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2018,16.41
Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2019,16.79
Annual,Euro,Soft wheat - prices per 100 kg,Estonia,2020,16.78
Annual,Euro,Soft wheat - prices per 100 kg,Greece,2011,22.5
Annual,Euro,Soft wheat - prices per 100 kg,Greece,2012,23.2
Annual,Euro,Soft wheat - prices per 100 kg,Greece,2013,21.55
Annual,Euro,Soft wheat - prices per 100 kg,Greece,2014,19.07
Annual,Euro,Soft wheat - prices per 100 kg,Greece,2015,19.4
Annual,Euro,Soft wheat - prices per 100 kg,Greece,2016,18.52
Annual,Euro,Soft wheat - prices per 100 kg,Greece,2017,18.84
Annual,Euro,Soft wheat - prices per 100 kg,Greece,2018,18.45
Annual,Euro,Soft wheat - prices per 100 kg,Greece,2019,19.08
Annual,Euro,Soft wheat - prices per 100 kg,Greece,2020,19.77
Annual,Euro,Soft wheat - prices per 100 kg,Spain,2011,21.17
Annual,Euro,Soft wheat - prices per 100 kg,Spain,2012,23.91
Annual,Euro,Soft wheat - prices per 100 kg,Spain,2013,20.03
Annual,Euro,Soft wheat - prices per 100 kg,Spain,2014,18.09
Annual,Euro,Soft wheat - prices per 100 kg,Spain,2015,18.12
Annual,Euro,Soft wheat - prices per 100 kg,Spain,2016,15.73
Annual,Euro,Soft wheat - prices per 100 kg,Spain,2017,17.64
Annual,Euro,Soft wheat - prices per 100 kg,Spain,2018,18.29
Annual,Euro,Soft wheat - prices per 100 kg,Spain,2019,18.66
Annual,Euro,Soft wheat - prices per 100 kg,Spain,2020,18.57
Annual,Euro,Soft wheat - prices per 100 kg,Finland,2011,19.69
Annual,Euro,Soft wheat - prices per 100 kg,Finland,2012,20.35
Annual,Euro,Soft wheat - prices per 100 kg,Finland,2013,20.42
Annual,Euro,Soft wheat - prices per 100 kg,Finland,2014,16.95
Annual,Euro,Soft wheat - prices per 100 kg,Finland,2015,16.89
Annual,Euro,Soft wheat - prices per 100 kg,Finland,2016,15.14
Annual,Euro,Soft wheat - prices per 100 kg,Finland,2017,15.91
Annual,Euro,Soft wheat - prices per 100 kg,Finland,2018,19.98
Annual,Euro,Soft wheat - prices per 100 kg,Finland,2019,18.4
Annual,Euro,Soft wheat - prices per 100 kg,Finland,2020,17.05
Annual,Euro,Soft wheat - prices per 100 kg,France,2011,21.32
Annual,Euro,Soft wheat - prices per 100 kg,France,2012,30.44
Annual,Euro,Soft wheat - prices per 100 kg,France,2013,27.89
Annual,Euro,Soft wheat - prices per 100 kg,France,2014,23.9
Annual,Euro,Soft wheat - prices per 100 kg,France,2015,22.3
Annual,Euro,Soft wheat - prices per 100 kg,France,2016,20.1
Annual,Euro,Soft wheat - prices per 100 kg,Croatia,2011,18.8
Annual,Euro,Soft wheat - prices per 100 kg,Croatia,2012,18.55
Annual,Euro,Soft wheat - prices per 100 kg,Croatia,2013,14.81
Annual,Euro,Soft wheat - prices per 100 kg,Croatia,2014,15.77
Annual,Euro,Soft wheat - prices per 100 kg,Croatia,2015,15.23
Annual,Euro,Soft wheat - prices per 100 kg,Croatia,2016,12.19
Annual,Euro,Soft wheat - prices per 100 kg,Croatia,2017,13.89
Annual,Euro,Soft wheat - prices per 100 kg,Croatia,2018,14.61
Annual,Euro,Soft wheat - prices per 100 kg,Croatia,2019,14.99
Annual,Euro,Soft wheat - prices per 100 kg,Croatia,2020,13.94
Annual,Euro,Soft wheat - prices per 100 kg,Hungary,2011,18.29
Annual,Euro,Soft wheat - prices per 100 kg,Hungary,2012,20.85
Annual,Euro,Soft wheat - prices per 100 kg,Hungary,2013,16.06
Annual,Euro,Soft wheat - prices per 100 kg,Hungary,2014,15.62
Annual,Euro,Soft wheat - prices per 100 kg,Hungary,2015,15.58
Annual,Euro,Soft wheat - prices per 100 kg,Hungary,2016,12.77
Annual,Euro,Soft wheat - prices per 100 kg,Hungary,2017,14.02
Annual,Euro,Soft wheat - prices per 100 kg,Hungary,2018,15.27
Annual,Euro,Soft wheat - prices per 100 kg,Hungary,2019,15.47
Annual,Euro,Soft wheat - prices per 100 kg,Hungary,2020,15.35
Annual,Euro,Soft wheat - prices per 100 kg,Italy,2011,24.86
Annual,Euro,Soft wheat - prices per 100 kg,Italy,2012,24.56
Annual,Euro,Soft wheat - prices per 100 kg,Italy,2013,33.07
Annual,Euro,Soft wheat - prices per 100 kg,Italy,2014,20.4
Annual,Euro,Soft wheat - prices per 100 kg,Italy,2015,19.47
Annual,Euro,Soft wheat - prices per 100 kg,Italy,2016,17.82
Annual,Euro,Soft wheat - prices per 100 kg,Italy,2017,18.77
Annual,Euro,Soft wheat - prices per 100 kg,Italy,2018,19.82
Annual,Euro,Soft wheat - prices per 100 kg,Italy,2019,19.94
Annual,Euro,Soft wheat - prices per 100 kg,Italy,2020,19.81
Annual,Euro,Soft wheat - prices per 100 kg,Lithuania,2011,20.61
Annual,Euro,Soft wheat - prices per 100 kg,Lithuania,2012,21.22
Annual,Euro,Soft wheat - prices per 100 kg,Lithuania,2013,17.94
Annual,Euro,Soft wheat - prices per 100 kg,Lithuania,2014,15.73
Annual,Euro,Soft wheat - prices per 100 kg,Lithuania,2015,16.22
Annual,Euro,Soft wheat - prices per 100 kg,Lithuania,2016,14.5
Annual,Euro,Soft wheat - prices per 100 kg,Lithuania,2017,15.49
Annual,Euro,Soft wheat - prices per 100 kg,Lithuania,2018,17.16
Annual,Euro,Soft wheat - prices per 100 kg,Lithuania,2019,16.25
Annual,Euro,Soft wheat - prices per 100 kg,Lithuania,2020,16.73
Annual,Euro,Soft wheat - prices per 100 kg,Luxembourg,2011,18.15
Annual,Euro,Soft wheat - prices per 100 kg,Luxembourg,2012,23.08
Annual,Euro,Soft wheat - prices per 100 kg,Luxembourg,2013,16.76
Annual,Euro,Soft wheat - prices per 100 kg,Luxembourg,2014,14.94
Annual,Euro,Soft wheat - prices per 100 kg,Luxembourg,2015,15.6
Annual,Euro,Soft wheat - prices per 100 kg,Luxembourg,2016,14.35
Annual,Euro,Soft wheat - prices per 100 kg,Luxembourg,2017,15.0
Annual,Euro,Soft wheat - prices per 100 kg,Luxembourg,2018,17.93
Annual,Euro,Soft wheat - prices per 100 kg,Luxembourg,2019,15.82
Annual,Euro,Soft wheat - prices per 100 kg,Luxembourg,2020,17.18
Annual,Euro,Soft wheat - prices per 100 kg,Latvia,2011,19.65
Annual,Euro,Soft wheat - prices per 100 kg,Latvia,2012,21.29
Annual,Euro,Soft wheat - prices per 100 kg,Latvia,2013,18.42
Annual,Euro,Soft wheat - prices per 100 kg,Latvia,2014,15.5
Annual,Euro,Soft wheat - prices per 100 kg,Latvia,2015,14.85
Annual,Euro,Soft wheat - prices per 100 kg,Latvia,2016,13.46
Annual,Euro,Soft wheat - prices per 100 kg,Latvia,2017,14.82
Annual,Euro,Soft wheat - prices per 100 kg,Latvia,2018,17.17
Annual,Euro,Soft wheat - prices per 100 kg,Latvia,2019,16.28
Annual,Euro,Soft wheat - prices per 100 kg,Latvia,2020,17.04
Annual,Euro,Soft wheat - prices per 100 kg,Netherlands,2011,19.35
Annual,Euro,Soft wheat - prices per 100 kg,Netherlands,2012,22.4
Annual,Euro,Soft wheat - prices per 100 kg,Netherlands,2013,19.48
Annual,Euro,Soft wheat - prices per 100 kg,Netherlands,2014,15.8
Annual,Euro,Soft wheat - prices per 100 kg,Netherlands,2015,15.6
Annual,Euro,Soft wheat - prices per 100 kg,Netherlands,2016,14.9
Annual,Euro,Soft wheat - prices per 100 kg,Netherlands,2017,15.25
Annual,Euro,Soft wheat - prices per 100 kg,Netherlands,2018,19.4
Annual,Euro,Soft wheat - prices per 100 kg,Netherlands,2019,16.2
Annual,Euro,Soft wheat - prices per 100 kg,Netherlands,2020,18.4
Annual,Euro,Soft wheat - prices per 100 kg,Poland,2011,19.93
Annual,Euro,Soft wheat - prices per 100 kg,Poland,2012,21.38
Annual,Euro,Soft wheat - prices per 100 kg,Poland,2013,19.0
Annual,Euro,Soft wheat - prices per 100 kg,Poland,2014,16.36
Annual,Euro,Soft wheat - prices per 100 kg,Poland,2015,16.0
Annual,Euro,Soft wheat - prices per 100 kg,Poland,2016,14.23
Annual,Euro,Soft wheat - prices per 100 kg,Poland,2017,15.62
Annual,Euro,Soft wheat - prices per 100 kg,Poland,2018,17.04
Annual,Euro,Soft wheat - prices per 100 kg,Poland,2019,16.81
Annual,Euro,Soft wheat - prices per 100 kg,Poland,2020,16.85
Annual,Euro,Soft wheat - prices per 100 kg,Portugal,2011,20.0
Annual,Euro,Soft wheat - prices per 100 kg,Portugal,2012,22.08
Annual,Euro,Soft wheat - prices per 100 kg,Portugal,2013,20.46
Annual,Euro,Soft wheat - prices per 100 kg,Portugal,2014,18.24
Annual,Euro,Soft wheat - prices per 100 kg,Portugal,2015,18.84
Annual,Euro,Soft wheat - prices per 100 kg,Portugal,2016,17.06
Annual,Euro,Soft wheat - prices per 100 kg,Portugal,2017,17.82
Annual,Euro,Soft wheat - prices per 100 kg,Portugal,2018,18.45
Annual,Euro,Soft wheat - prices per 100 kg,Portugal,2019,20.72
Annual,Euro,Soft wheat - prices per 100 kg,Portugal,2020,20.05
Annual,Euro,Soft wheat - prices per 100 kg,Romania,2011,20.76
Annual,Euro,Soft wheat - prices per 100 kg,Romania,2012,20.41
Annual,Euro,Soft wheat - prices per 100 kg,Romania,2013,19.24
Annual,Euro,Soft wheat - prices per 100 kg,Romania,2014,17.1
Annual,Euro,Soft wheat - prices per 100 kg,Romania,2015,16.65
Annual,Euro,Soft wheat - prices per 100 kg,Romania,2016,14.03
Annual,Euro,Soft wheat - prices per 100 kg,Romania,2017,14.23
Annual,Euro,Soft wheat - prices per 100 kg,Romania,2018,14.61
Annual,Euro,Soft wheat - prices per 100 kg,Romania,2019,15.38
Annual,Euro,Soft wheat - prices per 100 kg,Romania,2020,16.33
Annual,Euro,Soft wheat - prices per 100 kg,Sweden,2011,19.93
Annual,Euro,Soft wheat - prices per 100 kg,Sweden,2012,21.83
Annual,Euro,Soft wheat - prices per 100 kg,Sweden,2013,19.53
Annual,Euro,Soft wheat - prices per 100 kg,Sweden,2014,16.32
Annual,Euro,Soft wheat - prices per 100 kg,Sweden,2015,15.1
Annual,Euro,Soft wheat - prices per 100 kg,Sweden,2016,13.54
Annual,Euro,Soft wheat - prices per 100 kg,Sweden,2017,13.88
Annual,Euro,Soft wheat - prices per 100 kg,Sweden,2018,18.43
Annual,Euro,Soft wheat - prices per 100 kg,Sweden,2019,13.91
Annual,Euro,Soft wheat - prices per 100 kg,Sweden,2020,14.78
Annual,Euro,Soft wheat - prices per 100 kg,Slovenia,2011,19.31
Annual,Euro,Soft wheat - prices per 100 kg,Slovenia,2012,19.56
Annual,Euro,Soft wheat - prices per 100 kg,Slovenia,2013,18.1
Annual,Euro,Soft wheat - prices per 100 kg,Slovenia,2014,16.91
Annual,Euro,Soft wheat - prices per 100 kg,Slovenia,2015,16.83
Annual,Euro,Soft wheat - prices per 100 kg,Slovenia,2016,13.38
Annual,Euro,Soft wheat - prices per 100 kg,Slovenia,2017,15.4
Annual,Euro,Soft wheat - prices per 100 kg,Slovenia,2018,15.94
Annual,Euro,Soft wheat - prices per 100 kg,Slovenia,2019,16.32
Annual,Euro,Soft wheat - prices per 100 kg,Slovenia,2020,14.82
Annual,Euro,Soft wheat - prices per 100 kg,Slovakia,2011,17.94
Annual,Euro,Soft wheat - prices per 100 kg,Slovakia,2012,19.24
Annual,Euro,Soft wheat - prices per 100 kg,Slovakia,2013,16.92
Annual,Euro,Soft wheat - prices per 100 kg,Slovakia,2014,14.8
Annual,Euro,Soft wheat - prices per 100 kg,Slovakia,2015,14.63
Annual,Euro,Soft wheat - prices per 100 kg,Slovakia,2016,12.29
Annual,Euro,Soft wheat - prices per 100 kg,Slovakia,2017,13.98
Annual,Euro,Soft wheat - prices per 100 kg,Slovakia,2018,15.12
Annual,Euro,Soft wheat - prices per 100 kg,Slovakia,2019,15.31
Annual,Euro,Soft wheat - prices per 100 kg,Slovakia,2020,14.78
Annual,Euro,Soft wheat - prices per 100 kg,United Kingdom,2011,21.04
Annual,Euro,Soft wheat - prices per 100 kg,United Kingdom,2012,23.83
Annual,Euro,Soft wheat - prices per 100 kg,United Kingdom,2013,21.95
Annual,Euro,Soft wheat - prices per 100 kg,United Kingdom,2014,19.31
Annual,Euro,Soft wheat - prices per 100 kg,United Kingdom,2015,17.01
Annual,Euro,Soft wheat - prices per 100 kg,United Kingdom,2016,14.68
Annual,Euro,Soft wheat - prices per 100 kg,United Kingdom,2017,16.62
Annual,Euro,Soft wheat - prices per 100 kg,United Kingdom,2018,18.49
Annual,Euro,Soft wheat - prices per 100 kg,United Kingdom,2019,18.11
Annual,Euro,Durum wheat - prices per 100 kg,Austria,2011,25.18
Annual,Euro,Durum wheat - prices per 100 kg,Austria,2012,25.99
Annual,Euro,Durum wheat - prices per 100 kg,Austria,2013,22.37
Annual,Euro,Durum wheat - prices per 100 kg,Austria,2014,26.69
Annual,Euro,Durum wheat - prices per 100 kg,Austria,2015,25.47
Annual,Euro,Durum wheat - prices per 100 kg,Austria,2016,17.88
Annual,Euro,Durum wheat - prices per 100 kg,Austria,2017,18.24
Annual,Euro,Durum wheat - prices per 100 kg,Austria,2018,18.27
Annual,Euro,Durum wheat - prices per 100 kg,Austria,2019,20.03
Annual,Euro,Durum wheat - prices per 100 kg,Austria,2020,23.1
Annual,Euro,Durum wheat - prices per 100 kg,Bulgaria,2011,16.13
Annual,Euro,Durum wheat - prices per 100 kg,Bulgaria,2012,21.66
Annual,Euro,Durum wheat - prices per 100 kg,Bulgaria,2013,17.37
Annual,Euro,Durum wheat - prices per 100 kg,Bulgaria,2014,17.15
Annual,Euro,Durum wheat - prices per 100 kg,Bulgaria,2015,17.88
Annual,Euro,Durum wheat - prices per 100 kg,Bulgaria,2016,16.33
Annual,Euro,Durum wheat - prices per 100 kg,Bulgaria,2017,15.29
Annual,Euro,Durum wheat - prices per 100 kg,Bulgaria,2018,15.58
Annual,Euro,Durum wheat - prices per 100 kg,Bulgaria,2019,16.58
Annual,Euro,Durum wheat - prices per 100 kg,Bulgaria,2020,18.24
Annual,Euro,Durum wheat - prices per 100 kg,Cyprus,2011,26.6
Annual,Euro,Durum wheat - prices per 100 kg,Cyprus,2012,25.4
Annual,Euro,Durum wheat - prices per 100 kg,Cyprus,2013,24.4
Annual,Euro,Durum wheat - prices per 100 kg,Cyprus,2014,25.8
Annual,Euro,Durum wheat - prices per 100 kg,Cyprus,2015,24.8
Annual,Euro,Durum wheat - prices per 100 kg,Cyprus,2016,31.2
Annual,Euro,Durum wheat - prices per 100 kg,Cyprus,2017,21.82
Annual,Euro,Durum wheat - prices per 100 kg,Cyprus,2018,26.03
Annual,Euro,Durum wheat - prices per 100 kg,Cyprus,2019,22.94
Annual,Euro,Durum wheat - prices per 100 kg,Cyprus,2020,22.43
Annual,Euro,Durum wheat - prices per 100 kg,Germany,2018,21.0
Annual,Euro,Durum wheat - prices per 100 kg,Germany,2019,21.5
Annual,Euro,Durum wheat - prices per 100 kg,Germany,2020,22.0
Annual,Euro,Durum wheat - prices per 100 kg,Greece,2011,21.94
Annual,Euro,Durum wheat - prices per 100 kg,Greece,2012,23.32
Annual,Euro,Durum wheat - prices per 100 kg,Greece,2013,21.96
Annual,Euro,Durum wheat - prices per 100 kg,Greece,2014,24.27
Annual,Euro,Durum wheat - prices per 100 kg,Greece,2015,23.93
Annual,Euro,Durum wheat - prices per 100 kg,Greece,2016,18.86
Annual,Euro,Durum wheat - prices per 100 kg,Greece,2017,19.43
Annual,Euro,Durum wheat - prices per 100 kg,Greece,2018,18.83
Annual,Euro,Durum wheat - prices per 100 kg,Greece,2019,20.24
Annual,Euro,Durum wheat - prices per 100 kg,Greece,2020,23.01
Annual,Euro,Durum wheat - prices per 100 kg,Spain,2011,27.01
Annual,Euro,Durum wheat - prices per 100 kg,Spain,2012,26.7
Annual,Euro,Durum wheat - prices per 100 kg,Spain,2013,24.19
Annual,Euro,Durum wheat - prices per 100 kg,Spain,2014,28.12
Annual,Euro,Durum wheat - prices per 100 kg,Spain,2015,29.23
Annual,Euro,Durum wheat - prices per 100 kg,Spain,2016,22.28
Annual,Euro,Durum wheat - prices per 100 kg,Spain,2017,22.18
Annual,Euro,Durum wheat - prices per 100 kg,Spain,2018,19.1
Annual,Euro,Durum wheat - prices per 100 kg,Spain,2019,21.87
Annual,Euro,Durum wheat - prices per 100 kg,Spain,2020,24.36
Annual,Euro,Durum wheat - prices per 100 kg,France,2011,32.76
Annual,Euro,Durum wheat - prices per 100 kg,France,2012,44.36
Annual,Euro,Durum wheat - prices per 100 kg,France,2013,40.73
Annual,Euro,Durum wheat - prices per 100 kg,France,2014,48.9
Annual,Euro,Durum wheat - prices per 100 kg,France,2015,49.4
Annual,Euro,Durum wheat - prices per 100 kg,France,2016,37.7
Annual,Euro,Durum wheat - prices per 100 kg,Croatia,2013,18.2
Annual,Euro,Durum wheat - prices per 100 kg,Croatia,2014,18.48
Annual,Euro,Durum wheat - prices per 100 kg,Croatia,2015,27.14
Annual,Euro,Durum wheat - prices per 100 kg,Croatia,2016,14.39
Annual,Euro,Durum wheat - prices per 100 kg,Croatia,2017,22.01
Annual,Euro,Durum wheat - prices per 100 kg,Croatia,2018,21.01
Annual,Euro,Durum wheat - prices per 100 kg,Croatia,2019,19.48
Annual,Euro,Durum wheat - prices per 100 kg,Croatia,2020,19.72
Annual,Euro,Durum wheat - prices per 100 kg,Hungary,2011,21.78
Annual,Euro,Durum wheat - prices per 100 kg,Hungary,2012,27.12
Annual,Euro,Durum wheat - prices per 100 kg,Hungary,2013,20.41
Annual,Euro,Durum wheat - prices per 100 kg,Hungary,2014,20.85
Annual,Euro,Durum wheat - prices per 100 kg,Hungary,2015,22.56
Annual,Euro,Durum wheat - prices per 100 kg,Hungary,2016,16.75
Annual,Euro,Durum wheat - prices per 100 kg,Hungary,2017,14.12
Annual,Euro,Durum wheat - prices per 100 kg,Hungary,2018,18.83
Annual,Euro,Durum wheat - prices per 100 kg,Hungary,2019,19.82
Annual,Euro,Durum wheat - prices per 100 kg,Hungary,2020,24.79
Annual,Euro,Durum wheat - prices per 100 kg,Italy,2011,27.12
Annual,Euro,Durum wheat - prices per 100 kg,Italy,2012,26.34
Annual,Euro,Durum wheat - prices per 100 kg,Italy,2013,26.14
Annual,Euro,Durum wheat - prices per 100 kg,Italy,2014,28.38
Annual,Euro,Durum wheat - prices per 100 kg,Italy,2015,30.04
Annual,Euro,Durum wheat - prices per 100 kg,Italy,2016,22.41
Annual,Euro,Durum wheat - prices per 100 kg,Italy,2017,21.78
Annual,Euro,Durum wheat - prices per 100 kg,Italy,2018,21.79
Annual,Euro,Durum wheat - prices per 100 kg,Italy,2019,23.52
Annual,Euro,Durum wheat - prices per 100 kg,Italy,2020,27.43
Annual,Euro,Durum wheat - prices per 100 kg,Portugal,2011,20.0
Annual,Euro,Durum wheat - prices per 100 kg,Portugal,2012,28.0
Annual,Euro,Durum wheat - prices per 100 kg,Portugal,2013,24.0
Annual,Euro,Durum wheat - prices per 100 kg,Portugal,2014,23.0
Annual,Euro,Durum wheat - prices per 100 kg,Portugal,2015,27.99
Annual,Euro,Durum wheat - prices per 100 kg,Portugal,2016,23.5
Annual,Euro,Durum wheat - prices per 100 kg,Portugal,2017,23.0
Annual,Euro,Durum wheat - prices per 100 kg,Portugal,2018,21.81
Annual,Euro,Durum wheat - prices per 100 kg,Portugal,2019,22.97
Annual,Euro,Durum wheat - prices per 100 kg,Portugal,2020,23.0
Annual,Euro,Rye - prices per 100 kg,Austria,2011,19.92
Annual,Euro,Rye - prices per 100 kg,Austria,2012,19.13
Annual,Euro,Rye - prices per 100 kg,Austria,2013,12.21
Annual,Euro,Rye - prices per 100 kg,Austria,2014,11.92
Annual,Euro,Rye - prices per 100 kg,Austria,2015,12.12
Annual,Euro,Rye - prices per 100 kg,Austria,2016,12.52
Annual,Euro,Rye - prices per 100 kg,Austria,2017,15.7
Annual,Euro,Rye - prices per 100 kg,Austria,2018,14.98
Annual,Euro,Rye - prices per 100 kg,Austria,2019,12.74
Annual,Euro,Rye - prices per 100 kg,Austria,2020,11.76
Annual,Euro,Rye - prices per 100 kg,Belgium,2011,12.22
Annual,Euro,Rye - prices per 100 kg,Belgium,2012,14.88
Annual,Euro,Rye - prices per 100 kg,Belgium,2013,12.41
Annual,Euro,Rye - prices per 100 kg,Belgium,2014,11.01
Annual,Euro,Rye - prices per 100 kg,Belgium,2015,10.75
Annual,Euro,Rye - prices per 100 kg,Belgium,2016,9.73
Annual,Euro,Rye - prices per 100 kg,Belgium,2017,10.88
Annual,Euro,Rye - prices per 100 kg,Belgium,2018,13.95
Annual,Euro,Rye - prices per 100 kg,Belgium,2019,13.3
Annual,Euro,Rye - prices per 100 kg,Belgium,2020,14.91
Annual,Euro,Rye - prices per 100 kg,Bulgaria,2011,14.13
Annual,Euro,Rye - prices per 100 kg,Bulgaria,2012,17.62
Annual,Euro,Rye - prices per 100 kg,Bulgaria,2013,16.16
Annual,Euro,Rye - prices per 100 kg,Bulgaria,2014,13.1
Annual,Euro,Rye - prices per 100 kg,Bulgaria,2015,13.28
Annual,Euro,Rye - prices per 100 kg,Bulgaria,2016,12.29
Annual,Euro,Rye - prices per 100 kg,Bulgaria,2017,13.65
Annual,Euro,Rye - prices per 100 kg,Bulgaria,2018,13.4
Annual,Euro,Rye - prices per 100 kg,Bulgaria,2019,14.79
Annual,Euro,Rye - prices per 100 kg,Bulgaria,2020,16.5
Annual,Euro,Rye - prices per 100 kg,Czechia,2011,19.22
Annual,Euro,Rye - prices per 100 kg,Czechia,2012,20.32
Annual,Euro,Rye - prices per 100 kg,Czechia,2013,17.78
Annual,Euro,Rye - prices per 100 kg,Czechia,2014,14.27
Annual,Euro,Rye - prices per 100 kg,Czechia,2015,14.37
Annual,Euro,Rye - prices per 100 kg,Czechia,2016,13.87
Annual,Euro,Rye - prices per 100 kg,Czechia,2017,14.59
Annual,Euro,Rye - prices per 100 kg,Czechia,2018,16.3
Annual,Euro,Rye - prices per 100 kg,Czechia,2019,16.56
Annual,Euro,Rye - prices per 100 kg,Czechia,2020,14.52
Annual,Euro,Rye - prices per 100 kg,Germany,2011,20.17
Annual,Euro,Rye - prices per 100 kg,Germany,2012,20.42
Annual,Euro,Rye - prices per 100 kg,Germany,2013,15.96
Annual,Euro,Rye - prices per 100 kg,Germany,2014,14.28
Annual,Euro,Rye - prices per 100 kg,Germany,2015,13.25
Annual,Euro,Rye - prices per 100 kg,Germany,2016,12.2
Annual,Euro,Rye - prices per 100 kg,Germany,2017,13.95
Annual,Euro,Rye - prices per 100 kg,Germany,2018,15.99
